feature,feature_family,population,independent_motors,record_subsystem_block_units,spearman_raw_vs_speed_proxy,spearman_robust_z_vs_speed_proxy,speed_proxy,inferential_p_value_claimed
spectral_entropy,spectral_entropy,healthy_all,1,128,0.5058993919834199,0.2471249409412407,fundamental_hz (electrical-frequency proxy),False
spectral_entropy,spectral_entropy,healthy_calibration,1,48,0.7465738672111576,0.37754745172399184,fundamental_hz (electrical-frequency proxy),False
spectral_entropy,spectral_entropy,healthy_health_test,1,64,0.6562661481507556,0.33016057797361065,fundamental_hz (electrical-frequency proxy),False
spectral_entropy,spectral_entropy,healthy_unused,1,8,0.24246432248443597,0.6182840223353118,fundamental_hz (electrical-frequency proxy),False
thd_2_to_5_mean,harmonic_sideband,fault,1,768,0.05241058995395673,0.0815198403201539,fundamental_hz (electrical-frequency proxy),False
thd_2_to_5_mean,harmonic_sideband,healthy_adaptation,1,8,-0.7319250547114,-0.7807200583588266,fundamental_hz (electrical-frequency proxy),False
thd_2_to_5_mean,harmonic_sideband,healthy_all,1,128,-0.5882657430304253,-0.5168470550560549,fundamental_hz (electrical-frequency proxy),False
thd_2_to_5_mean,harmonic_sideband,healthy_calibration,1,48,-0.8370279441866971,-0.7251620325647736,fundamental_hz (electrical-frequency proxy),False
thd_2_to_5_mean,harmonic_sideband,healthy_health_test,1,64,-0.6948808814852824,-0.6071452582526581,fundamental_hz (electrical-frequency proxy),False
thd_2_to_5_mean,harmonic_sideband,healthy_unused,1,8,0.7637626158259734,0.7637626158259734,fundamental_hz (electrical-frequency proxy),False
zero_sequence_ratio,sequence_imbalance,fault,1,768,-0.03095748527315685,-0.0323339972928852,fundamental_hz (electrical-frequency proxy),False
zero_sequence_ratio,sequence_imbalance,healthy_adaptation,1,8,0.3415650255319867,0.6831300510639734,fundamental_hz (electrical-frequency proxy),False
zero_sequence_ratio,sequence_imbalance,healthy_all,1,128,-0.06733129196117701,-0.06966119398136471,fundamental_hz (electrical-frequency proxy),False
zero_sequence_ratio,sequence_imbalance,healthy_calibration,1,48,-0.14147105034217866,-0.14147105034217866,fundamental_hz (electrical-frequency proxy),False
zero_sequence_ratio,sequence_imbalance,healthy_health_test,1,64,-0.048844412093793074,-0.048844412093793074,fundamental_hz (electrical-frequency proxy),False
zero_sequence_ratio,sequence_imbalance,healthy_unused,1,8,-0.836501912571304,-0.9819805060619657,fundamental_hz (electrical-frequency proxy),False
