scope,feature,feature_family,block_id,block_label,independent_motors,healthy_units,fault_units,matched_fault_health_pairs,healthy_raw_mean,fault_raw_mean,raw_hedges_g_fault_minus_health,raw_single_feature_auc_fault_higher,raw_direction_free_auc,matched_raw_difference_mean,matched_raw_difference_median,matched_raw_dz,robust_z_hedges_g_fault_minus_health,robust_z_single_feature_auc_fault_higher,robust_z_direction_free_auc,matched_robust_z_dz,auroc_inferential_claimed
all_matched_loads,crest_a,current_shape,5,5,1,16,96,96,2.0849046077063123,1.7394257366855932,-0.582858346425223,0.39453125,0.60546875,-0.34547887102071934,-0.04018834983761643,-0.4436765082470526,-0.5044491749175484,0.4427083333333333,0.5572916666666667,-0.4254230043900896,False
all_matched_loads,crest_a,current_shape,6,6,1,16,96,96,2.090008835233009,1.76176553860755,-0.5270739868835529,0.38802083333333337,0.6119791666666666,-0.3282432966254593,-0.0482554877574346,-0.4346798698583799,-0.4491170870594812,0.43684895833333337,0.5631510416666666,-0.4396561735526797,False
all_matched_loads,crest_a,current_shape,7,7,1,16,96,96,2.0880791571567103,1.766717655854113,-0.5333928951967043,0.3580729166666667,0.6419270833333333,-0.32136150130259783,-0.06431347876502147,-0.44734292088891925,-0.43824100184760517,0.4212239583333333,0.5787760416666667,-0.4766255138069765,False
all_matched_loads,crest_b,current_shape,-1,all_blocks,1,128,768,768,2.04655637211898,1.7066299863538203,-0.562630408947291,0.35026041666666663,0.6497395833333334,-0.3399263857651598,-0.06605882300805122,-0.45001525151435334,-0.3960410274221024,0.40929158528645826,0.5907084147135417,-0.4252225160339888,False
all_matched_loads,crest_b,current_shape,0,0,1,16,96,96,1.9451036735735405,1.6426767432090277,-0.6038408025900119,0.3138020833333333,0.6861979166666667,-0.3024269303645129,-0.05312000254186455,-0.48262500410208403,-0.3835865722003052,0.38736979166666663,0.6126302083333334,-0.4400590742273239,False
all_matched_loads,crest_b,current_shape,1,1,1,16,96,96,1.9786557663797626,1.6356201212882182,-0.6782510324042674,0.34114583333333337,0.6588541666666666,-0.34303564509154444,-0.051706022626115455,-0.45070219094267033,-0.42706073981674564,0.40104166666666663,0.5989583333333334,-0.42079006743586084,False
all_matched_loads,crest_b,current_shape,2,2,1,16,96,96,2.004823204284353,1.6437502873208203,-0.6782195390176917,0.3424479166666667,0.6575520833333333,-0.3610729169635327,-0.05464628114234282,-0.4382156328613856,-0.429151047265599,0.40169270833333337,0.5983072916666666,-0.432724421608854,False
all_matched_loads,crest_b,current_shape,3,3,1,16,96,96,2.0377813258435697,1.653906382588125,-0.706950594665279,0.310546875,0.689453125,-0.3838749432554443,-0.07685616135871964,-0.4713198111002299,-0.46427607304786433,0.3821614583333333,0.6178385416666667,-0.4630698690154321,False
all_matched_loads,crest_b,current_shape,4,4,1,16,96,96,2.0135415340280653,1.7095505941587208,-0.5226931791387849,0.32682291666666663,0.6731770833333334,-0.30399093986934456,-0.0724697241626655,-0.49293664678558924,-0.3655546666638522,0.4036458333333333,0.5963541666666667,-0.4565561999779329,False
all_matched_loads,crest_b,current_shape,5,5,1,16,96,96,2.112491243333129,1.7634095574585356,-0.4936982883713424,0.3489583333333333,0.6510416666666667,-0.3490816858745931,-0.07021527072159806,-0.43296061506390554,-0.3999033564128901,0.41341145833333337,0.5865885416666666,-0.3823462963194901,False
all_matched_loads,crest_b,current_shape,6,6,1,16,96,96,2.1908416944113958,1.7958348439582064,-0.5138187991511582,0.357421875,0.642578125,-0.39500685045318945,-0.07784788641555584,-0.4339302941489435,-0.39309520754714594,0.423828125,0.576171875,-0.4227855588741329,False
all_matched_loads,crest_b,current_shape,7,7,1,16,96,96,2.0892125350980244,1.8082913608489075,-0.41934379554275714,0.3828125,0.6171875,-0.28092117424911683,-0.07065263728317128,-0.43264330228997355,-0.29080384092379447,0.43554687500000006,0.564453125,-0.4202068615574828,False
all_matched_loads,crest_c,current_shape,-1,all_blocks,1,128,768,768,2.1015611126333864,1.7501468723338711,-0.5487959042790803,0.39874267578125006,0.60125732421875,-0.35141424029951523,-0.051417411032724014,-0.4322051589807471,-0.5451131343365396,0.39894612630208337,0.6010538736979166,-0.4304187047315944,False
all_matched_loads,crest_c,current_shape,0,0,1,16,96,96,2.036575437228418,1.6927150152531656,-0.5354308291904395,0.3072916666666667,0.6927083333333333,-0.3438604219752524,-0.06281781092228589,-0.4936142369709301,-0.5357660666571595,0.3151041666666667,0.6848958333333333,-0.4854506000099796,False
all_matched_loads,crest_c,current_shape,1,1,1,16,96,96,2.0600111132573637,1.6613205288359598,-0.6685948652956778,0.3118489583333333,0.6881510416666667,-0.398690584421404,-0.0696875651302693,-0.47284826307622224,-0.6583997081450731,0.32161458333333337,0.6783854166666666,-0.46897122434377586,False
all_matched_loads,crest_c,current_shape,2,2,1,16,96,96,2.1410974660289446,1.6882988127079672,-0.6764994060561739,0.34375,0.65625,-0.45279865332097713,-0.06308069898735391,-0.4428766689041172,-0.6700435274687262,0.34635416666666663,0.6536458333333334,-0.4347464185186746,False
all_matched_loads,crest_c,current_shape,3,3,1,16,96,96,2.149750485249962,1.703255216869773,-0.6795936428065701,0.37499999999999994,0.625,-0.44649526838018927,-0.04544798607961009,-0.4300116102981702,-0.6694974585427655,0.37434895833333337,0.6256510416666666,-0.4361427755829773,False
